"matter","qcasenumber"
"010749-0001","2:10-cv-00561"
"027250-0094","09 CV 1315"
"114262-0012","37-2016-00000527"
"064333-5971","11-C-510"
"110963-0002","14-CV-00541"
"062435-0016","14 300 00382 07"
"060568-0014","SACV07-1227 CJC (RNBx)"
"064333-0960","BC370069"
"064333-8295","12-C-10"
"058120-0064","ESC 795-05-FT"
"106085-0004","18-05369"
"064333-7405","CGC11275862"
"064346-0496","CGC07274358"
"064333-7998","BC472635"
"000032-0011","16-cv-21640"
"048303-0053","110901813"
"064346-3035","12-015199"
"117003-9867","170501659"
"058440-0048","BC379898"
"009532-1708","BC621621"
"051439-0212","650406/09"
"020787-5410","684157"
"000183-0006","18-0022"
"063134-0103","2:12-cv-06558"
"010849-0060","201502835/17F201660729"
"067654-0762","24X09000510"
"058586-0019","39-2009-00212972 CU OE STK"
"037492-0134","01-15-0004-0620"
"164346-0376","16-C-1068"
"064346-2723","12-C-383 KAN"
"064346-3214","RG12652091"
"064345-0208","004420"
"004056-0151","HHD-CV15-6060717-S"
"028675-0025","08-01585"
"031024-0010","14 cv 14750"
"106964-1822","March Term 2013 No. 000592"
"064333-3204","RG09456210"
"011918-0001","50-2011CA006375"
"053947-0022","1:14-cv-00944"
"064329-1473","14-000009-NP"
"039408-0884","381100/10"
"103904-0034","BC513160"
"060568-0050","CV1101827"
"063784-0278","5:14-cv-02891"
"020130-0039","11-cv-01623"
"009532-1649","15CV14588"
"164346-1627","16-C-1873 KAN"
"066432-0029","BC503369"
"064346-8259","14-C-186 H"
"039529-0326","CIVDS1601783"
"103000-0008","4:14-cv-02361"
"040892-0149","15-01783"
"052434-0142","14CV4043"
"037492-0110","011500040636"
"064346-0940","CGC10275537 "
"049673-1042","19 cv 18986"
"020787-8287","14-C-660"
"059491-0092","19-03451"
"039408-1161","214bk16150N"
"103697-0004","1:12-cv-00133"
"064333-0983","04-1065"
"063133-0001","CV2004021221"
"064346-2053","BC455504"
"063784-0155","16-462"
"118468-0001","1684CV03998-BLS2"
"104305-0005","30201400753448"
"061823-1000","19stcv06572"
"064346-0209","CGC-06-450687"
"064346-5021","13-023066"
"064333-4608","10cv84923"
"037492-0038","1:10-cv-04763"
"051855-0095","1:14-cv-06383"
"067696-1467","RG10546231"
"064416-5256","IPR2016-01704 "
"063331-0094","8:08 CV-225"
"122603-0005","19-cv-02474"
"063331-0102","08-00173"
"058074-0197"," CACE 08-015943 14"
"064346-1366","CGC10275498"
"064329-2555","16-016057"
"101888-0102","10-L-001267"
"064346-7934","141100070"
"059799-0067","211CV460"
"010976-0004","028551-10"
"051439-0203","09 CV 10235 (RJH)"
"009532-1803","16 cv 2931"
"020787-8624","15-6429-NP"
"123029-0002","19-cv-00569"
"058074-0174","PC 20100352"
"067042-0033","17-3783"
"064333-1365","BC382982"
"060272-0127","3:09-cv-02466-ARC-MCC"
"103204-0007","16659"
"102295-0001","09-1551"
"049673-0398","1:17-cv-0072"
"015187-0127","15F-2010-00164"
"000741-0159","BCD-18-219"
"067654-0756","24X09000166"
"064346-4662","13-012058-NP"
"040465-0009","8:08-cv-01206"
"021288-0066","06-3763"
"066842-0026","12CV040454-SLD-JAG"
"064333-2603","CGC08275011"
"037492-0140","01-15-0004-0617"
"021288-0256","6:11-cv-06119"
"067696-1317","CGC09275133"
"037492-0228","15-cv-03904"
"064346-1063","CGC09275313"
"025010-0212","CIV505781"
"045390-0414","752310"
"102774-0002","CL1100114F-15"
"117652-0001","1684CV02936"
"114262-0039","18-cv-02793"
"034664-0691"," 01-19-0001-2002"
"107004-0008","TC026406  B267010"
"064346-1304","09-1202374"
"034664-0683","118at803"
"009532-1539","4:14-cv-00460"
"064333-8103","12-cv-60126 (MDL 875)"
"064346-0749","09-72230"
"060578-0002","BC037585"
"064346-3262","12-C-2240 KAN"
"039857-0145","06-073263"
"039408-1415","2:14-cv-02688"
"025010-0101","BC398650"
"032231-0007","16-cv-00225"
"102330-0030","2:10-cv-01958"
"040520-0386","21-CA-183740"
"064346-2657","12-C-164"
"049065-0228","10-2066"
"064345-0176","001063"
"031819-0012","17CV312200"
"049065-0278","11 cv 9305"
"013746-0078","06-07253"
"097065-0095","18H84SP000357"
"064318-0455","120401233"
"068068-0023","A0704947"
"069087-0004","34200800015515"
"064333-9702","N12C-07-339 ASB"
"021288-0096","600940/08"
"065186-0003","CV08-03660 CAS (CTx)"
"067654-0182","24X06000761"
"064333-9137","12-003702-NP"
"064326-0089","074845"
"054553-0110","2:14-cv-4653"
"107942-0001","14-cv-9095"
"012919-0172","0602947"
"106524-0324","150804194"
"059799-0129","14-C-2225"
"010701-0005","210CV09220 JHNCW"
"031024-0008","1:15-cv-20040"
"116721-0002","17 cv 3690 "
"000028-0768","09-01385"
"101237-0004","15-10468"
"119714-0005","CGC-19-576306"
"069530-0004","3:05-CV-2375-M"
"058594-0039","06CC00188"
"100023-0052","18-cv-20421"
"070024-0079","17 cv 5245"
"102815-0005","15-cv-03120"
"068715-0044","1:13-cv-00250-LPS"
"009532-0637","07-4005"
"064326-0085","07-4725"
"009532-1279","6:13-cv-299"
"039821-0239","2:10-cv-03748"
"039408-1689","15CEGG01171"
"106964-4903","FBT-CV-15-6051475-S"
"064318-1023","15-005790-NP"
"017161-0260","18-0554"
"070130-0015","BC631464"
"101286-0004","06CV10197"
"067696-1762","BC475520"
"120091-0002","11329"
"064333-3794","09-12866"
"007333-0043","01-19-0001-0249"
"052776-0093","NC039884"
"105048-0004","192019"
"106964-2810","12-C-1102 KAN"
"064333-0405","CGC09275294"
"064333-3488","CV2008014007"
"063224-0057","00-19945"
"057712-0007","CV04-6591 TJH"
"069387-0028","STK-CV-LIOE-2018- 6562"
"025010-8215","17-cv-61774"
"068695-0070","14-0133"
"013746-0121","BC578444"
"117003-9370","170207666"
"010371-0004","CV2011013356"
"065980-0002","EC042710"
"068068-0085","BC486916"
"064346-0275","CGC-06-456131"
"060847-0012","1:07-mc-00493"
"064333-6897","BC501998"
"064333-6815","BC501352"
"117003-7949","2016-3092"
"025010-0168","10-4780-ER"
"037492-0112","01-15-0004-0633"
"052867-0303","2018-4279"
"057589-0055","3:17-cv-01856"
"110311-0008","536138 536013  15-7548"
"064346-5570","14-002658-NP"
"100156-0322","5:16-cv-00786"
"060725-0066","16-cv-00113"
"097065-0046","17FAM02637"
"061660-0001","2:12-cv-00991"
"115713-0142","819cv2276"
"049673-1087","01327"
"103971-0233","19-1680"
"112848-0007","19STCV16956"
"018180-0272","2:14-mc-00055"
"039408-0986","14cv0833"
"125782-0001","1400018107"
"042724-0054","16-cv-4062"
"012308-0143","5:11-cv-07464"
"064346-2401","N11C05019ASB"
"020787-1163","12-007966-NP"
"052776-0075","B270473"
"064346-4571","11-012115-NP"
"058439-0009","BC553104"
"107545-0020","4:15-cv-00565"
"064333-6496","12-C-2192KAN"
"018180-0163","CV0804250FMC"
"106965-2751","15-271-NP"
"064346-0202","CGC06452158"
"065530-0091","16-2222"
"064333-5408","N10C-12-083"
"106965-0773","15-C-75"
"055073-0077","37201900022766"
"064385-0143","17 cv 2693"
"064346-9713","2015-10-02006"
"039408-0740","000610/10"
"018743-0184","01-16-0004-8594"
"102504-0276","16-cv-11589"
"049065-0303","4:13-00803-BP"
"107145-0008","17-cv-02937"
"064345-0186","CGC07274230"
"064347-1773","16-C-126 KAN"
"066455-0047","BC432847"
"018180-0279","2:14-cv-04461"
"003351-0011","19-CA-189865 189881"
"067279-0006","07-81212"
"115838-0013","219cv04490"
"064346-1026","CGC09275354"
"049673-0990","MID-L-005263"
"020787-2111","12-48592"
"020787-1319","CV1203248"
"039821-0286","1:11-cv-03343"
"069238-0072","18 cv 4931"
"022262-0703","2:11-cv-06834"
"064346-0219","CGC06452943"
"107046-0262","19STCV41123"
"097079-0042","19FAM01471"
"117003-8826","No. 6224 of 2016"
"064346-7998","14-013637-NP"
"066169-0026","303866/13"
"104261-0001","N13C-06-289"
"010646-0002","22-CA-030064"
"032019-0006","8:17-cv-00549"
"031024-0128","24387"
"064346-5672","14-004257-NP"
"064346-2778","BC481215"
"064346-4377","13-C-1661"
"063134-0080","BC439477"
"106969-0964","2015090174"
"114226-0001","15-L-012192    "
"064346-5947","14-007424-NP"
"070057-0007","4-2950-15-002"
"006819-0472","15-cv-02301"
"052250-0119","07-1683"
"009532-1469","2:14-1596"
"046335-0122","16-02118"
"020787-7650","13-008232-NP"
"067654-0783","24X10000167"
"010505-0002","MSC11-00261"
"060771-0114","RG11600495"
"064333-6608","12-C-2489"
"064346-8609","15-6438-NP"
"064346-0835","RG09458959"
"064385-0029","2:07-CV-03481"
"053097-0095","16-cv-24393"
"064346-5540","14-002216-NP"
"069414-0009","13CV01026"
"069457-0102","2012-1111-CD"
"064333-1776","CL08-2360"
"052867-0176","MER-L-288-12"
"000028-0986","819cv01476"
"064333-1816","37200800087371"
"039408-1514","5:14-cv-05176"
"064351-0019","0608-1861"
"064333-1011","CGC07274198"
"064346-7195","14-0417-NP"
"064333-1347","CGC08274534"
"064346-5832","CGC-14-276260"
"002451-0024","12-C-1050 KAN"
"064333-0592","07-C-2317"
"052701-0550","15-00731"
"106964-5302","15-C-892"
"117003-4647","2012CV08650AS"
"057709-0142","1023"
"039408-1401","30201400740132"
"097025-0029","SCV249021  &  SCV248943"
"058074-0022","2:07cv79 "
"010702-0002","5:10-cv-03248-JF"
"064346-2720","34-2012-00129466"
"049673-0892","19stcv08098"
"103971-0171","17-1320"
"059799-0036","3:09-cv-00965 GEB-DEA"
"064346-3609","13-C-419KAN"
"020072-0050","37202000004124"
"059799-0038","6:09CV1717Orl 31 GJK"
"064347-0137","CGC09275025"
"068695-0010","157414/13"
"066407-0023","16-cv-00042"
"064346-0222"," CGC-06-451620"
"066900-0026","HUDL18010"
"039408-1258","005931/14"
"117851-0001","16-2556"
"123065-0002","1073"
"039408-0760","APN1301160"
"039408-1616","14-51001"
"115713-0015","TX2014-000470"
"061146-0028","14cv0464"
"117003-7539","16-011246"
"064346-0325","CGC-06-458504"
"104907-1000","15-013568"
"031819-0014","4:17-cv-02855"
"005768-0411","BC422790"
"064346-8214","14-015433-NP"
"164346-1281","16-C-1931"
"025010-8211","12 cv 1981"
"041688-0231","MRS-L-920-08"
"058074-0169","2009-CA-008634-B"
"064333-5982","11-C-519"
"106964-0662","GD 10-011748"
"031895-0184","2015 CA 007008 A"
"064346-5019","13-C-2105"
"064385-0156","17-02180"
"061201-0109","L-003041-17"
"064346-1930","11-007786"
"020787-9118","2016-11901"
"064346-2318","11-C-1548"
"117003-9677","170401281 "
"025010-0206","CV1100481PHXNVW"
"049673-0175","16 cv 0321"
"064346-1590","RG10540069"
"040514-0051","06-5103"
"064333-6628","12-C-2462"
"018180-0299","1:15-cv-00698"
"117003-7122","16000012CA01"
"066151-0017","8:12-cv-01864"
"017161-0227","3:11-cv-05374"
"103971-0017","16-2-15588-31"
"034664-1199",". 5-3100-19-040"
"064318-1915","16-C-618"
"020787-1650","24X12000850"
"049389-0379","511-2012-01119"
"064346-0471","CGC07274180"
"018180-0181","1:11-cv-03341"
"069366-0002","07 CV 689"
"129961-0001","D-1-GV-12-000657"
"061005-0084","1450005420 "
"059491-0064","11-04800"
"044959-0025","2018-0707"
"064346-5536","14-002254-NP"
"064333-0035","CGC-05-444296"
"047520-0436","3:11-cv-00175"
"067654-0307","24X07000461"
"064336-0038","14-C-904"
"060771-0138","0:13-cv-61839"
"008742-0115"," 530-2015-00567"
"117003-8929","15734"
"039529-0259","12-020346"
"064612-0194","19 cv 9922"
"064346-1704","CGC10275710"
"102877-0004","BC560596"
"114262-0020","16-cv-01379"
"064346-3465","13-C-119 KAN"
"053537-0051","8:12-cv-01235"
"069414-0005","2011 cv 2012"
"000032-0021","BC707575"
"121256-0002","01574"
"060917-0048","513181/15 "
"106964-1633","2014-1439"
"020046-0003","CBCA 2295-ADR"
"015304-0721","13-675"
"064346-4832","N13C-08-177 ASB"
"009532-1839","CV-17-8"
"066442-0017","30201200571582"
"097081-0047","19ccad02201"
"052715-0588","16-02516 "
"010768-5005","IPR2015-1166 17-1307"
"010194-0025","18-cv-10342"
"049673-0742","532-2019-01566"
"100156-0372","19-03683"
"117003-5169","March Term 2014 No 946"
"125594-0001","8:19-cv-01753"
"052867-0289","1:17-cv-07304"
"064333-2328","CGC08274986"
"120882-0001","16-10236 Adv. 18-01011"
"004056-0160","17 cv 4689"
"064346-0097","CGC0432357"
"003569-0002","41 2014CA001636AX"
"105262-0001","15-0508"
"107116-0029","18-02554"
"067654-0380","24X9000020"
"002513-0071","13-1741"
"106964-4489","13-013413"
"009532-2422","651327/18"
"097006-1083","601906/06"
"105171-0009","MRS-L-2406-16"
"064346-2935","30201200585345CUASCXC"
"064333-0293","CL09-01178"
"164346-1385","16-0522-NP"
"063784-0178","3:11-cv-00454"
"097016-0021","3:07-cv-01133"
"103699-0005","18-00222"
"049673-0460","17-cv-03820"
"058074-0333","2014CP25262"
"043451-0113","CV1100993SI"
"064333-9821","12-C-1454"
"000093-0081","19stcv08068"
"058128-0008","108CV121675"
"063292-0035","16-107236"
"064346-1433","CGC10275596"
"039408-0775","14-cv-00052"
"052776-0120","CV10705DSF"
"032425-0004","13 cv 4815 "
"063224-0038","06-1566"
"064346-3109","24X12000906"
"031895-0697","24X17000441"
"064346-8887","15-005281-NP"
"052701-0453","11CV988AJB"
"015802-0177","09 cv 10289"
"020787-7946","13-15076"
"114047-0002","16-4782"
"049673-0474","1:18-cv-000120"
"064346-0170","CGC-04-435202"
"064346-2916","12-C-1050 KAN"
"064346-5854","14-006329-NP"
"064318-1298","1509-1388"
"118387-0004","17 cv 1144"
"065144-0004","1:14-cv-00546"
"064333-3937","CGC10275507"
"123734-0003","BC674279"
"064346-3307","GD1223289"
"064333-1962","RG08404667"
"106964-3965","13-024060"
"067696-1141","CGC97990539"
"106964-8645","161200247"
"107203-0003","15 CV 0017 (PKC) 14 CV 7474-CDCA; SUPLA-BC 555255"
"064346-0487","CGC08274769"
"020787-3061","12-48762NP"
"102806-0001","4:12-cv-00139-WTM-GRS"
"066745-0009","30200800113609"
"051439-0315","10165289"
"064333-0249","06456569"
"060495-0039","06-02069 & 06 05411"
"039408-1603","30354/14"
"018180-0235","1:12-cv-01361"
"106524-0222","15-012646"
"067696-1119","CGC07274230"
"018483-0392","955756"
"058074-0211","11-14483-I"
"002579-0074","12-00640"
"064333-6221","BC493933"
"057147-0031","15 cv 7206"
"037492-0298","18-cv-02209-M"
"105486-0024","18-cv-00367"
"010849-0132"," 530-2018-05376"
"103971-0040","16-0744"
"039408-0586","21800/13"
"049673-0739","BC719783"
"061811-0028","151695/18"
"063749-0044","14-343C"
"064346-0148","CGC-05-446019"
"064329-1599","14-C-904"
"117000-3237","50-2004-CA-002014"
"020063-0009","16-cv-0563"
"020787-0567","10-007219-NP"
"066629-0003","BC383989"
"007568-0349","182251281SEA"
"117003-1028","12-010975"
"097044-0021","2:15-cv-00902"
"066799-0001","VC035460"
"067696-2065","CGC15276441"
"026723-0241","15-2309"
"069654-0042","13-1990"
"037793-0295","DC-13-13840-D"
"117003-6373","170801085"
"116672-0001","2:17-cr-00322"
"066208-0028","2:13-cv-6808"
"015304-0752","1425020068"
"097027-0037","30201000418334"
"021288-0903","17-C-389"
"106524-0063","15-005635"
"119329-0006","18-21396"
"059799-0090","34-2012-00127477"
"030416-0044","07222"
"010701-0031","16CV295422"
"064336-0227","GD 16 000149"
"101589-0008","2454 EDA 2016"
"064318-1900","16-C-249"
"064326-0083","07-4694"
"064338-0050","CGC09275294"
"028635-0090","14-cv-00216"
"020787-8108","14-000025-NP"
"107046-0116","BC683962"
"097006-0205","877 CD 2014"
"039408-1030","150049/2014"
"117003-5263","151002402"
"044450-0143","37201100100043"
"006402-0241","111CV555"
"064338-0114","0773515"
"067654-0060","VARIOUS"
"064346-0216","CGC-06-452416"
"064346-2517","11-C-2089"
"025010-8252","19-CI-538"
"002226-0037","151631/17"
"025010-0120","2:16-cv-00907-MHB"
"064333-3871","CGC12276038"
"063292-0092","00631"
"068255-0028","09-04264"
"049673-0305","16-2-15625-8 SEA"
"064346-1045","09-C-1771"
"117003-1021","12-005174"
"002579-0387","17-cv-00757"
"095540-1333","2170"
"064333-7134","11 -C-749"
"052715-0106","320-2006-00154"
"040520-0218","RG07329580"
"058120-0141","1419308"
"101813-0004","653437/13"
"106524-0003","RG14719195"
"097067-0044","17-0161"
"058120-0082","N/A"
"006432-0223","16-17147"
"104826-0001","15-0146"
"045390-0533","3:2013-cv-03937"
"025010-8205","1210032710"
"070442-0001","2:12-cv-06469"
"106965-3986","170303100"
"117003-4642","2015-3273"
"049673-0127","201303447"
"000741-0191","19-cv-01655"
"064323-0104","24X10000031"
"067654-0837","2011 CA 001007 A"
"104618-0007","162501/14"
"049673-0758","RG18923557"
"106975-0091","15-C-892"
"064345-0220","BC384071"
"121013-0007","37201900014725"
"031895-0377","24X15000796"
"106964-1728","14-018915"
"001702-0015","160204858"
"064346-0983","CGC09275269"
"064333-1411","BC388160"
"000028-0791","15-3277"
"052434-0158","15cv1343"
"103939-0034","520-2017-01413"
"197054-0034","2:19-cv-13741"
"000484-0040","19-02187"
"107046-0129","RG17879793"
"064329-1429","13-22212-NP"
"052701-0537","BC536240"
"055089-0012","BC625585"
"064333-8707","11-C-2028"
"058074-0220","10RP000171B"
"007568-0197","1:04-cv-01991"
"064612-0015","M98831"
"052776-0140","CV110628EDL"
"067654-1039","13-0007490"
"020787-8989","16-003018"
"027250-0105","CV148576JFW"
"124888-0002","156140/19"
"009532-2460","1292842"
"104618-6209","19-cv-03705"
"120619-0004","16-01054"
"164346-0421","16-012412"
"052776-0141","BC455283"
"058074-0365","2014 CA 011069"
"116378-0001","ECU08705"
"064333-4361","24X10000195"
"020787-7646","13-008177-NP"
"067696-1189","CGC06451849"
"022226-0037","18 cv 11531"
"067696-1976","CGC15276388"
"058110-0136","1:07-cv-00812"
"064346-6436","Feb Term 2016 No. 4492"
"064346-1219","2008-3206"
"000407-0003","C1002805 LB"
"020072-0043","17-07148"
"052715-0246","CV09-01538 RGK (CWx)"
"064333-3551","09 CA 009999"
"065898-0029","01-1400-0000-8504"
"064346-1231","09-005535"
"049673-0701","18C-08-013"
"064346-8087","14-C-2121"
"067696-1636","34-2012-00120734"
"097075-0094","14cv00773"
"064345-0016"," CGC-05-443438"
"063331-0134","08 CV 1521"
"018180-0188","1:11-cv-00113"
"064346-5285","13-22211-NP"
"117184-0001","12 cv 12324"
"035186-0043","19-cv-01534"
"062066-0034","CV111215"
"061942-0170","2018-SOX-00024"
"064346-2798","120403567"
"104941-0020","01-16-0002-7102"
"064346-2815","12-C-679"
"064346-5450","14-001347-NP"
"062407-0001","04-CV2184 LAB(AJB)"
"107046-0188","BC692096"
"107046-0127","218cv05156"
"031895-0331","2014 CA 001594 A"
"039408-1773","16CECG02223"
"064347-0025","CGC06459163"
"064346-0301","BC360773"
"097020-0104","76105-2009"
"063671-0001","BC323270"
"125127-0002","BCV-19-101525"
"064346-9868","15-C-1536"
"102410-0007","2:09-cv-05775-DSF-SH"
"103971-0198","18-0750"
"049673-0946","19 cv 0974"
"117003-8467","No. 0038"
"020787-8091","14-000019-NP"
"107046-0221","819cv01614"
"020330-0013","15-cv-02366"
"009532-0596","06-16129-CA-04"
"052701-0549","15 cv 1843"
"031024-0061","15-cv-06247"
"020787-8525","1410002941"
"105416-0002","07-84628-VLJ"
"068695-0130","17cv1340"
"064329-0136","10-C-257 KAN "
"067696-1362","CGC09275333"
"020787-8635","14-6441-NP"
"111630-0001","18-cv-00741"
"045706-0022","07-3488"
"064347-0963","BC505987"
"039408-0734","061301/13"
"002579-0352","316cv1178"
"067654-0249","24X07000517"
"066307-0010","RG09448138"
"064326-0045","07-1843"
"027011-0039","15-1252"
"007568-0301","16.10321"
"064346-2315","N11C-08-224 ASB"
"106964-2831","15-003689"
"067696-1773","BC517327"
"103732-0002","YC070781"
"100447-0005","29052-15"
"069457-0062","3:10-cv-00636"
"064329-0698","11-C-2181"
"064346-4429","RG13693160"
"058568-0002","26-23922"
"064346-7136","14-009691-NP"
"064346-7292","14-C-1299"
"009532-0638","07-30541 CA 03"
"064333-2916","09-025985"
"066407-0024","BC607956"
"049685-0004","073484/07"
"031881-0001","30201200617158"
"064333-5404"," CGC11275747"
"001482-0085","18-0309"
"064346-8683","15-003317-NP"
"067080-0023","1:13 mc 00312 "
"115713-0046","705917/17"
"030725-0007","J-0078-16"
"107046-0107","18-cv-04849"
"106607-0001","8:15-cv-00099"
"064333-1432","BC388810"
"097032-0005"," 2012062105"
"095540-0027","09CV03031SC"
"028581-0099","2:12-cv-05538"
"097014-0091","2006 CA 000396 R(RP)"
"041645-0024","BC361799"
"064333-3826","10-C-77"
"021288-0332","114cv00742"
"010502-0010","11C953"
"106524-0034","RG14724526"
"064346-4021","13-C-924KAN"
"009532-1896","17 cv 30098"
"107033-0695","18-00598"
"097052-0111","BC645810"
"049673-1136","19-003289"
"031024-0060","513091/2016"
"064346-0371","BC372150"
"063034-0006","RG08407926"
"009532-1174","BC484914"
"054321-0248","18 cv 9944"
"107014-0019","CGC-16-554238"
"103010-0104","2019-01759; 608511/17"
"034913-0511","08cvb-03-4238"
"064333-7310","BC464074"
"064385-0016","06 CV 536"
"064333-0057","CGC05445173"
"049089-0068","2010-19285-CA-01"
"031895-0352","24X15000648"
"012308-0125","10CV05093"
"066629-0105","8:09-cv-00632"
"018381-0123","BC559192"
"047520-0435","3:11-cv-00156"
"051078-0216","17-cv-60170"
"103971-0102","17-2-06505-6  17-0592"
"119031-0001","17-241"
"064346-7759","11553-2014"
"069881-0010","19-00266"
"069457-6546","VARIOUS"
"101177-0164","18-cv-01657"
"000741-0062","16-5995"
"058120-0142","30201400042981"
"020787-3237","13-01671"
"117003-4637","2003-1190"
"097059-0092","14K10448"
"117003-0473","10-C-257 KAN "
"052494-0057","114978/08"
"097076-0142","17-5454"
"064346-3171","12-C-2008"
"067696-1431","CGC10275582"
"002508-0001","1:10-cv-04191"
"095540-0885","1:09CV00791 GMS"
"034664-0113","409CV1230"
"039408-1366","214bk14412NB"
"064329-0137","10-C-258"
"102201-0001","14-cv-00301"
"000222-0002","CV1001430 VBF (AJWx)"
"066954-0007","06AS02420"
"061942-0161","511-2017-02168"
"058120-0116","CGC11511181"
"111730-0007","15-02090"
"106965-4258","17-008418"
"106964-9250","17-C-633"
"064346-2749","12-C-567"
"106975-0117","CL1702050F-15"
"119672-0001","17-cv-22357"
"048303-0080","17-03602"
"106964-7049","16-000479"
"002664-0005","18-01630"
"064346-0286","CGC-06-455769"
"058074-0358","A-17-1176"
"049673-0352","BC635636"
"002157-0046","1:12-cv-01922-"
"064329-1926","15-005745-NP"
"064333-4997","BC448174"
"105486-0006","16-cv-00040"
"063760-0042","16L785"
"117003-9767","170500705"
"018180-0182","1:11-cv-01222"
"066790-0221","MICV2008-01468-S"
"051439-0362","15 cv 8789"
"064333-5403","CGC11275760"
"110482-0014","SC127969"
"064346-7466","CGC14276340"
"015304-0757","12-C-14-1000 OC"
"049065-0336","12CV281CABKSC"
"058120-0140","BC568002"
"039857-0221","09CV04158 CW"
"064347-0034","CGC-08-274613"
"058120-0033","CGC-04-429633"
"017072-0105","2:13-cv-06384"
"049100-0218","18 cv 0610"
"049065-0478","8:18-cv-00918"
"117003-5277","151102458"
"025010-8412","19-00021"
"063134-0041","CV087513 PA (Ex)"
"020787-2867","01-12137 (27)"
"058074-0272","5:12-cv-00586"
"067705-9060","BC476649"
"009532-1629","3:15-cv-0763-M"
"067696-1673","RG12646383"
"064346-8607","15-6437-NP"
"008742-0077","04-258"
"101888-0069","10 CV 5060"
"103971-0151","17-cv-01763"
"063292-0059","15-CA-210719"
"001520-0072","5:12-CV--00247 HRL"
"064333-6382","2:12-cv-10891"
"103971-0107","217cv3347"
"117003-7116","2016-CV-4365 AS"
"064346-5215","BC528374"
"034664-0467"," SC-000117-18/SY"
"069752-0016","CV175560"
"106964-1895","L-8247-12"
"039408-0370","1:12-CV-5510"
"009532-1205","212CV00711 DN"
"046411-0902","2:12-CV-00601-JFC"
"064346-8863","15-008028"
"064346-3628","03-C-9600KAN"
"097065-0053","A-003790-16T4"
"064333-7763","24X11000375"
"063134-0126","15-22876"
"039408-1383","CGC14541253"
"000093-0022","L-1041-13"
"058110-0155","061599-09"
"061105-0011","BC356051"
"010490-0001","111-CV-192457"
"039408-1664","2:14-cv-01007"
"106964-8367","16-019946"
"064333-7238","11-C-991"
"064328-0191","14-C-1839"
"009532-1741","16 cv 0451"
"103904-0032","BC551438"
"066800-0001","06 CV 2810"
"064346-0278","CGC06455895"
"031895-0641","24X16000550"
"020787-1271","12-008548-NP"
"053097-0087"," 15cv01244"
"064333-0851","CGC06454146"
"063134-0141","3:17-cv-02530"
"046335-0132","16-03541"
"064346-2383","CGC10275609"
"068812-0002","07-701"
"060272-0191","ESX-L-2359-13"
"064346-0285","CGC-06-456569"
"054936-0013","04 CV 687"
"064346-8931","15-005637-NP"
"064333-0037","CGC-06-449568"
"106964-8968","17-004690"
"053097-0070","9:12-cv-81077"
"039408-1061","BCD-15-430"
"064329-0058","09-C-1771"
"025010-8300","17-0160"
"121585-0001","18 cv 0916"
"010423-0002","113CV240830"
"042944-0070","37201900036324"
"107046-0171","191943"
"020787-9471","17-012187"
"020787-8000","13-C-2336"
"067696-1681","BC493900"
"067696-1666","BC489351"
"068810-0027","16-4085"
"052701-0436","10 cv 5950"
"064376-0009","3:07-cv-366"
"020787-7851","13-012093-NP"
"002506-0028","846-2018-03135"
"066629-0124","BC445841"
"106968-0066","16-C-0077"
"051439-0314","13-cv-62078"
"058074-0124","14-11075-F"
"100023-0010","3:12-cv-02724"
"001821-0120","50-443-LA-2"
"064346-4597","CL13-04263V-04"
"061823-0007","08-21277-CIV-Moreno/Torres"
"064333-9121","CGC11275804"
"064346-5973","GD 14-011621"
"103971-0230","19stcv12291"
"064333-6775","13-C-80 KAN"
"018180-0323","5:16-cv-00271"
"115828-0001","16-432"
"049065-0247","11 CV 331 "
"020787-8290","14-006306-NP"
"114328-0001","G1227182"
"097013-0166"," 2:14-cv-3843"
"061895-0103","11-1844 & 12-399"
"010601-0072","18 cv 0123"
"107094-0032"," 14-CV-01028"
"063784-0341","Patent 7,107,352 (IPR2019-00330) "
"064318-2343","16-C-1931"
"002831-0002","BC474493"
"009532-1745","3143"
"064346-1384","10-C-76"
"064333-7406","N11C-06-294 ASB"
"101177-0036","14cv5055"
"010120-0001"," 11CV00023"
"100228-0001","14-1281"
"052701-0499","12-cv-00088"
"063784-0354","13-1300"
"049065-0294","8:12-cv-00631/8:12-cv-00788 (FMLA)"
"057982-0033"," BC449675"
"007333-0015","2013-ERA-18"
"102410-0026","11-cv-01032"
"058074-0292","CL-2011-15719"
"009532-0614","SACV07886AG"
"002451-0020","11-C-1587"
"002579-0317","RIC1509183"
"064333-5445","BC451858"
"115762-0001","16-cv-20070"
"106964-0334","140901139"
"058074-0359","16-cv-00672"
"049065-0416","01-15-0006-0603"
"122942-0001","18-1915"
"049076-0094","1:08-BK-14939-MT"
"010701-0028","BC605158"
"042245-0010","1:04-cv-00009"
"000728-0031","02695"
"064333-4358","CL1 0-00767J-02"
"107046-0079","BC717542"
"106965-3495","16-C-0451"
"064333-6642","2:13-cv-01138"
"049673-0609","18-1913"
"064346-4603","13-C-1920"
"060917-0045","15 cv 5344"
"066455-0052","30-2009 00121425"
"031891-0002","653274/13"
"009532-0574","CGC07461178"
"097011-0218","N121013"
"044450-0244","2:16-cv-00257"
"064346-5114","13-015221-NP"
"053184-0007","C 08-CV-01307 AJS"
"103971-0162","17-00938"
"011721-0060","19-02310"
"105171-0025","BC674626"
"034664-1146","18 cv 6744"
